user_input,retrieved_contexts,response,reference,faithfulness,answer_relevancy,context_recall,context_precision
What values are set to −∞ in the N × N QK⊺ matrix?,"['[Izvor 1 | str.192 | data\\book.pdf]\nq1•k1\nq2•k1 q2•k2\nq4•k1 q4•k2 q4•k3 q4•k4\nq3•k1 q3•k2 q3•k3\nN\nN\n−∞\n−∞\n−∞\n−∞\n−∞\n−∞\nFigure 8.10\nThe N × N QK⊺matrix showing the qi · kj values, with the upper-triangle\nportion of the comparisons matrix zeroed out (set to −∞, which the softmax will turn to\nzero).\nFig. 8.11 shows a schematic of all the computations for a single attention head\nparallelized in matrix form.\nq1\nq2\nq3\nq4\nk1\nk2\nk3\nk4\nQ\nKT\nQKT\nv1\nv2\nv3\nv4\nV\nq2•k2\nq4•k2 q4•k3 q4•k4\nq3•k2 q3•k3\n−∞\n−∞\n−∞\n−∞\n−∞\n−∞\nq1•k1\nq2•k1 q2•k2\n\n---\n\n[Izvor 2 | str.208 | data\\book.pdf]\n9.1\n•\nBIDIRECTIONAL TRANSFORMER ENCODERS\n201\n(repeated from Eq. 8.34 for a single attention head):\nhead = softmax\n\x12\nmask\n\x12QK⊺\n√dk\n\x13\x13\nV\n(9.1)\nq1•k1\nq2•k1 q2•k2\nq4•k1 q4•k2 q4•k3 q4•k4\nq3•k1 q3•k2 q3•k3\nN\nN\n−∞\n−∞\n−∞\n−∞\n−∞\n−∞\nq1•k1\nq2•k1\nq2•k2\nq4•k1\nq4•k2\nq4•k3\nq4•k4\nq3•k1\nq3•k2\nq3•k3\nN\nN\nq1•k2\nq1•k3\nq1•k4\nq2•k3\nq2•k4\nq3•k4\n(a)\n(b)\nFigure 9.2\nThe N ×N QK⊺matrix showing the qi ·kj values. (a) shows the upper-triangle\nportion of the comparisons matrix zeroed out (set to −∞, which the softmax will turn to zero),\n\n---\n\n[Izvor 3 | str.191 | data\\book.pdf]\nof shape N ×N, visualized in Fig. 8.9.\nq1•k1\nq2•k1\nq2•k2\nq4•k1\nq4•k2\nq4•k3\nq4•k4\nq3•k1\nq3•k2\nq3•k3\nN\nN\nq1•k2\nq1•k3\nq1•k4\nq2•k3\nq2•k4\nq3•k4\nFigure 8.9\nThe N × N QK⊺matrix showing how it computes all qi · k j comparisons in a\nsingle matrix multiple.\nOnce we have this QK⊺matrix, we can very efﬁciently scale these scores, take\nthe softmax, and then multiply the result by V resulting in a matrix of shape N ×d:\na vector embedding representation for each token in the input. We’ve reduced the\n\n---\n\n[Izvor 4 | str.193 | data\\book.pdf]\nMultiplying the concatenated [N × Adv] matrix output by WO of shape [Adv × d]\nyields the self-attention output A of shape [N ×d].\nQi = XWQi ; Ki = XWKi ; Vi = XWVi\n(8.35)\nheadi = SelfAttention(Qi,Ki,Vi) = softmax\n\x12\nmask\n\x12QiKi⊺\n√dk\n\x13\x13\nVi\n(8.36)\nMultiHeadAttention(X) = (head1 ⊕head2...⊕headA)WO (8.37)\nPutting it all together with the parallel input matrix X\nThe function computed\nin parallel by an entire layer of N transformer blocks—each block over one of the N\ninput tokens—can be expressed as:\n\n---\n\n[Izvor 5 | str.191 | data\\book.pdf]\ncomputing hi from the input xi. That means we can easily parallelize the entire\ncomputation, taking advantage of efﬁcient matrix multiplication routines.\nWe do this by packing the input embeddings for the N tokens of the input se-\nquence into a single matrix X of size [N × d]. Each row of X is the embedding of\none token of the input. Transformers for large language models commonly have an\ninput length N from 1K to 32K; much longer contexts of 128K or even up to millions']","In the N × N QK⊺ matrix, the upper-triangle portion of the comparisons matrix is zeroed out and set to −∞. This is done so that the softmax function will turn these values to zero.",The upper-triangle portion of the comparisons matrix.,1.0,0.6413956236106378,1.0,0.9999999999
What type of optimization problem is learning in neural networks described as?,"['[Izvor 1 | str.151 | data\\book.pdf]\nto each unit in layer i+1, and there are no cycles.\n• The power of neural networks comes from the ability of early layers to learn\nrepresentations that can be utilized by later layers in the network.\n• Neural networks are trained by optimization algorithms like gradient de-\nscent.\n• Error backpropagation, backward differentiation on a computation graph,\nis used to compute the gradients of the loss function for a network.\n• Neural language models use a neural network as a probabilistic classiﬁer, to\n\n---\n\n[Izvor 2 | str.150 | data\\book.pdf]\n∂z\n= −\n\x12 y\na[2] + y−1\n1−a[2]\n\x13\na[2](1−a[2])\n= a[2] −y\n(6.43)\nContinuing the backward computation of the gradients (next by passing the gra-\ndients over b[2]\n1 and the two product nodes, and so on, back to all the teal nodes), is\nleft as an exercise for the reader.\n6.6.5\nMore details on learning\nOptimization in neural networks is a non-convex optimization problem, more com-\nplex than for logistic regression, and for that and other reasons there are many best\npractices for successful learning.\n2\n\n---\n\n[Izvor 3 | str.152 | data\\book.pdf]\nspeech recognition (Morgan and Bourlard 1990). By the early 2000s, improvements\nin computer hardware and advances in optimization and training techniques made it\npossible to train even larger and deeper networks, leading to the modern term deep\nlearning (Hinton et al. 2006, Bengio et al. 2007). We cover more related history in\nChapter 13 and Chapter 15.\nThere are a number of excellent books on neural networks, including Goodfellow\net al. (2016) and Nielsen (2015).\n\n---\n\n[Izvor 4 | str.127 | data\\book.pdf]\nautomatically.\nIn this chapter we’ll introduce feedforward networks as classiﬁers, ﬁrst with\nhand-built features, and then using the embeddings that we studied in Chapter 5.\nIn subsequent chapters we’ll introduce many other kinds of neural models, most\nimportantly the transformer and attention, (Chapter 8), but also recurrent neural\nnetworks (Chapter 13) and convolutional neural networks (Chapter 15). And in\nthe next chapter we’ll introduce the paradigm of neural large language models.\n\n---\n\n[Izvor 5 | str.130 | data\\book.pdf]\nwards, multiplying gradients (partial derivatives) from each layer of the network;\ngradients that are almost 0 cause the error signal to get smaller and smaller until it is\ntoo small to be used for training, a problem called the vanishing gradient problem.\nvanishing\ngradient\nRectiﬁers don’t have this problem, since the derivative of ReLU for high values of z\nis 1 rather than very close to 0.\n6.2\nThe XOR problem\nEarly in the history of neural networks it was realized that the power of neural net-']",Learning in neural networks is described as a non-convex optimization problem.,a non-convex optimization problem,1.0,0.6974198864143609,1.0,0.9999999999
What is the second step in the process described in the text?,"['[Izvor 1 | str.294 | data\\book.pdf]\ninference, computing ht, yt, accumulating the loss at each step in time, saving the\nvalue of the hidden layer at each step for use at the next time step. In the second\npass, we process the sequence in reverse, computing the required gradients as we go,\ncomputing and saving the error term for use in the hidden layer for each step back-\nward in time. This general approach is commonly referred to as backpropagation\nthrough time (Werbos 1974, Rumelhart et al. 1986, Werbos 1990).\nbackpropaga-\ntion through\ntime\n\n---\n\n[Izvor 2 | str.81 | data\\book.pdf]\n74\nCHAPTER 4\n•\nLOGISTIC REGRESSION\nw\nLoss\n0\nw1\nwmin\nslope of loss at w1 \nis negative\n(goal)\none step\nof gradient\ndescent\nFigure 4.3\nThe ﬁrst step in iteratively ﬁnding the minimum of this loss function, by moving\nw in the reverse direction from the slope of the function. Since the slope is negative, we need\nto move w in a positive direction, to the right. Here superscripts are used for learning steps,\nso w1 means the initial value of w (which is 0), w2 the value at the second step, and so on.\n\n---\n\n[Izvor 3 | str.454 | data\\book.pdf]\nthat and ﬂight. The scaled weights using the maximum value entering each node are\nshown in the graph to the right.\nCollapsing the cycle between that and ﬂight to a single node (labeled tf) and re-\ncursing with the newly scaled costs is shown in the second row. The greedy selection\nstep in this recursion yields a spanning tree that links root to book, as well as an edge\nthat links book to the contracted node. Expanding the contracted node, we can see\n\n---\n\n[Izvor 4 | str.304 | data\\book.pdf]\nthe error signal back through time. Recall from Section 13.1.2 that the hidden layer\nat time t contributes to the loss at the next time step since it takes part in that calcula-\ntion. As a result, during the backward pass of training, the hidden layers are subject\nto repeated multiplications, as determined by the length of the sequence. A frequent\nresult of this process is that the gradients are eventually driven to zero, a situation\ncalled the vanishing gradients problem.\nvanishing\ngradients\n\n---\n\n[Izvor 5 | str.379 | data\\book.pdf]\nthe middle of end-to-end training causes problems in propagation of the gradient in\nthe backward pass of training, because the quantization step is not differentiable.\nWe deal with this problem in two ways. First, we ignore the quantization step in\nthe backward pass. Instead we copy the gradients from the output of the quantizer\n(zqt) back to the input of the quantizer (zt), a method called the straight-through\nestimator (Van Den Oord et al., 2017).']","The second step in the process involves processing the sequence in reverse, computing the required gradients and saving the error term for use in the hidden layer for each step backward in time, commonly referred to as backpropagation through time.",Identification,1.0,0.5199970365854962,0.0,0.0
How many instruction/response instances are included in the Aya instruct finetuning corpus?,"['[Izvor 1 | str.228 | data\\book.pdf]\n2022), Flan 2022 has 15 million examples from 1836 tasks (Longpre et al., 2023),\nand OPT-IML has 18 million examples from 2000 tasks (Iyer et al., 2022).\nThese instruction-tuning datasets are created in four ways. The ﬁrst is for people\nto write the instances directly. For example, part of the Aya instruct ﬁnetuning cor-\npus (Fig. 10.2) includes 204K instruction/response instances written by 3000 ﬂuent\nspeakers of 65 languages volunteering as part of a participatory research initiative\n\n---\n\n[Izvor 2 | str.228 | data\\book.pdf]\nmatera) dan Brunei. Sajian ini merujuk kepada nasi yang di-\nmasak dengan menggunakan santan kelapa bagi menambah rasa\nlemaknya. Kadangkala, daun pandan wangi dimasukkan semasa\nnasi dimasak bagi menambahkan aromanya.\ntam\nெசயற்ைகநுண்ணற§வு\nஎன்றால்என்ன?\nெபாதுவாகமனிதர்களால்ெசய்யப்படும்பணிகைளச்\nெசய்ய\nஒரு\nகணினி\nஅல்லது\nஒரு\nகணினியால்\nகட்டுப்படுத்தப்படும்ஒருேராேபாவ¥ன்த¦றன்ெசயற்ைக\nநுண்ணற§வுஎனப்படும்.\nFigure 10.2\nSamples of prompt/completion instances in 4 of the 65 languages in the Aya\ncorpus (Singh et al., 2024).\n\n---\n\n[Izvor 3 | str.226 | data\\book.pdf]\nupdates are generated using cross-entropy loss as in the original model training.\nEven though it is trained to predict the next token (which we traditionally think of\nas self-supervised), we call this method supervised ﬁne tuning (or SFT) because\nSFT\nunlike in pretraining, each instruction or question in the instruction tuning data has\na supervised objective: a correct answer to the question or a response to the instruc-\ntion.\nHow does instruction tuning differ from the other kinds of ﬁnetuning introduced\n\n---\n\n[Izvor 4 | str.166 | data\\book.pdf]\ndicting words and can generate text.\n2. instruction tuning, also called supervised ﬁnetuning or SFT: In the second\nstage, the model is trained, again by cross-entropy loss to follow instructions,\nfor example to answer questions, give summaries, write code, translate sen-\ntences, and so on. It does this by being trained on a special corpus with lots of\ntext containing both instructions and the correct response to the instruction.\n3. alignment, also called preference alignment. In this ﬁnal stage, the model\n\n---\n\n[Izvor 5 | str.13 | data\\book.pdf]\n6\nCHAPTER 2\n•\nWORDS AND TOKENS\nCorpus\nTypes = |V| Instances = N\nShakespeare\n31 thousand\n884 thousand\nBrown corpus\n38 thousand\n1 million\nSwitchboard telephone conversations\n20 thousand\n2.4 million\nCOCA\n2 million\n440 million\nGoogle n-grams\n13 million\n1 trillion\nFigure 2.1\nRough numbers of wordform types and instances for some English language\ncorpora. The largest, the Google n-grams corpus, contains 13 million types, but this count']","The Aya instruct finetuning corpus includes 204,000 instruction/response instances.",204K,1.0,1.0,1.0,0.9999999999
What is the selectional restriction on the THEME role of the verb eat in the hamburger example?,"['[Izvor 1 | str.500 | data\\book.pdf]\nsynset as the selectional restriction on each of its arguments. A meaning representa-\ntion is well-formed if the role ﬁller word is a hyponym (subordinate) of this synset.\nFor our ate a hamburger example, for instance, we could set the selectional\nrestriction on the THEME role of the verb eat to the synset {food, nutrient}, glossed\nas any substance that can be metabolized by an animal to give energy and build\ntissue. Luckily, the chain of hypernyms for hamburger shown in Fig. 21.7 reveals\n\n---\n\n[Izvor 2 | str.499 | data\\book.pdf]\nOne useful cue is the semantic fact that the THEME of EATING events tends to be\nsomething that is edible. This restriction placed by the verb eat on the ﬁller of its\nTHEME argument is a selectional restriction.\nSelectional restrictions are associated with senses, not entire lexemes. We can\nsee this in the following examples of the lexeme serve:\n(21.31)\nThe restaurant serves green-lipped mussels.\n(21.32)\nWhich airlines serve Denver?\n\n---\n\n[Izvor 3 | str.500 | data\\book.pdf]\nthat hamburgers are indeed food. Again, the ﬁller of a role need not match the\nrestriction synset exactly; it just needs to have the synset as one of its superordinates.\nWe can apply this approach to the THEME roles of the verbs imagine, lift, and di-\nagonalize, discussed earlier. Let us restrict imagine’s THEME to the synset {entity},\nlift’s THEME to {physical entity}, and diagonalize to {matrix}. This arrangement\ncorrectly permits imagine a hamburger and lift a hamburger, while also correctly\n\n---\n\n[Izvor 4 | str.500 | data\\book.pdf]\nthe λ-structures and using thematic roles rather than deep event roles, the semantic\ncontribution of a verb like eat might look like the following:\n∃e,x,y Eating(e)∧Agent(e,x)∧Theme(e,y)\nWith this representation, all we know about y, the ﬁller of the THEME role, is that\nit is associated with an Eating event through the Theme relation. To stipulate the\nselectional restriction that y must be something edible, we simply add a new term to\nthat effect:\n∃e,x,y Eating(e)∧Agent(e,x)∧Theme(e,y)∧EdibleThing(y)\n\n---\n\n[Izvor 5 | str.499 | data\\book.pdf]\n21.7\nSelectional Restrictions\nWe turn in this section to another way to represent facts about the relationship be-\ntween predicates and arguments. A selectional restriction is a semantic type con-\nselectional\nrestriction\nstraint that a verb imposes on the kind of concepts that are allowed to ﬁll its argument\nroles. Consider the two meanings associated with the following example:\n(21.29) I want to eat someplace nearby.\nThere are two possible parses and semantic interpretations for this sentence. In']","The selectional restriction on the THEME role of the verb ""eat"" in the hamburger example is that the THEME must be something edible, specifically categorized under the synset {food, nutrient}.","{food, nutrient}",1.0,0.9056275410398836,1.0,0.9999999999
What type of parsers will be discussed in relation to constituents?,"['[Izvor 1 | str.432 | data\\book.pdf]\ntasks we’ve seen already like named entity tagging:\nlabeled recall: = # of correct constituents in hypothesis parse of s\n# of total constituents in reference parse of s\nlabeled precision: = # of correct constituents in hypothesis parse of s\n# of total constituents in hypothesis parse of s\n\n---\n\n[Izvor 2 | str.432 | data\\book.pdf]\nfrom spans to non-terminals.\nFor more details on span-based parsing, including the margin-based training al-\ngorithm, see Stern et al. (2017), Gaddy et al. (2018), Kitaev and Klein (2018), and\nKitaev et al. (2019).\n18.8\nEvaluating Parsers\nThe standard tool for evaluating parsers that assign a single parse tree to a sentence\nis the PARSEVAL metrics (Black et al., 1991). The PARSEVAL metric measures\nPARSEVAL\nhow much the constituents in the hypothesis parse tree look like the constituents in a\n\n---\n\n[Izvor 3 | str.497 | data\\book.pdf]\nments that require a more ‘global’ assignment of labels to constituents. For example,\nconstituents in FrameNet and PropBank are required to be non-overlapping. More\nsigniﬁcantly, the semantic roles of constituents are not independent. For example\nPropBank does not allow multiple identical arguments; two constituents of the same\nverb cannot both be labeled ARG0 .\nRole labeling systems thus often add a fourth step to deal with global consistency\n\n---\n\n[Izvor 4 | str.428 | data\\book.pdf]\nto recover the correct trees. Exercise 18.3 asks you to make this change. Many of\nthe probabilistic parsers presented in Appendix C use the CKY algorithm altered in\n\n---\n\n[Izvor 5 | str.435 | data\\book.pdf]\nand cross-brackets.\n• Partial parsing and chunking are methods for identifying shallow syntac-\ntic constituents in a text. They are solved by sequence models trained on\nsyntactically-annotated data.\nHistorical Notes\nAccording to Percival (1976), the idea of breaking up a sentence into a hierarchy of\nconstituents appeared in the V¨olkerpsychologie of the groundbreaking psychologist\nWilhelm Wundt (Wundt, 1900):\n...den sprachlichen Ausdruck f¨ur die willk¨urliche Gliederung einer Ge-', '[Izvor 1 | str.497 | data\\book.pdf]\nments that require a more ‘global’ assignment of labels to constituents. For example,\nconstituents in FrameNet and PropBank are required to be non-overlapping. More\nsigniﬁcantly, the semantic roles of constituents are not independent. For example\nPropBank does not allow multiple identical arguments; two constituents of the same\nverb cannot both be labeled ARG0 .\nRole labeling systems thus often add a fourth step to deal with global consistency\n\n---\n\n[Izvor 2 | str.432 | data\\book.pdf]\nfrom spans to non-terminals.\nFor more details on span-based parsing, including the margin-based training al-\ngorithm, see Stern et al. (2017), Gaddy et al. (2018), Kitaev and Klein (2018), and\nKitaev et al. (2019).\n18.8\nEvaluating Parsers\nThe standard tool for evaluating parsers that assign a single parse tree to a sentence\nis the PARSEVAL metrics (Black et al., 1991). The PARSEVAL metric measures\nPARSEVAL\nhow much the constituents in the hypothesis parse tree look like the constituents in a\n\n---\n\n[Izvor 3 | str.432 | data\\book.pdf]\ntasks we’ve seen already like named entity tagging:\nlabeled recall: = # of correct constituents in hypothesis parse of s\n# of total constituents in reference parse of s\nlabeled precision: = # of correct constituents in hypothesis parse of s\n# of total constituents in hypothesis parse of s\n\n---\n\n[Izvor 4 | str.326 | data\\book.pdf]\n14.4\n•\nACOUSTIC PHONETICS AND SIGNALS\n319\nLinking Prominence and Tune\nPitch accents come in different varieties that are related to tune; high pitched accents,\nfor example, have different functions than low pitched accents. There are many\ntypologies of accent classes in different languages. One such typology is part of the\nToBI (Tone and Break Indices) theory of intonation (Silverman et al. 1992). Each\nToBI\nword in ToBI can be associated with one of ﬁve types of pitch accents shown in\n\n---\n\n[Izvor 5 | str.428 | data\\book.pdf]\nto recover the correct trees. Exercise 18.3 asks you to make this change. Many of\nthe probabilistic parsers presented in Appendix C use the CKY algorithm altered in']","The documents discuss various types of parsers related to constituents, including probabilistic parsers that utilize the CKY algorithm, as well as role labeling systems that require a global assignment of labels to constituents, such as those used in FrameNet and PropBank. Additionally, methods like partial parsing and chunking are mentioned for identifying shallow syntactic constituents.",neural span-based parsers,1.0,0.69756932287372,0.0,0.0
How many transcribed conversations are included in the HKUST Mandarin Telephone Speech corpus?,"['[Izvor 1 | str.348 | data\\book.pdf]\nAmerican communities and others (Kendall and Farrington, 2020). The interviews\nare anonymized with transcripts aligned at the utterance level.\nThere are a wide variety of corpora available in other languages. In Chinese,\nfor example, the HKUST Mandarin Telephone Speech corpus has 1206 transcribed\nHKUST\nten-minute telephone conversations between speakers of Mandarin across China in-\ncluding conversations between friends and between strangers (Liu et al., 2006). The\n\n---\n\n[Izvor 2 | str.349 | data\\book.pdf]\nCER%\nAISHELL-1 Mandarin read speech corpus\n3.9\nHKUST Mandarin Chinese telephone conversations\n18.5\nFigure 15.1\nRough Word Error Rates (WER = % of words misrecognized) reported around\n2023-4 for ASR on various American English and other language recognition tasks, and char-\nacter error rates (CER) for two Chinese recognition tasks.\n15.2\nConvolutional Neural Networks\nThe convolutional neural network, or CNN (and sometimes shortened as convnet),\nCNN\n\n---\n\n[Izvor 3 | str.319 | data\\book.pdf]\nfrom the beginning of sentence to the start of each syllable.\nThe Buckeye corpus (Pitt et al. 2007, Pitt et al. 2005) is a phonetically tran-\nscribed corpus of spontaneous American speech, containing about 300,000 words\nfrom 40 talkers. Phonetically transcribed corpora are also available for other lan-\nguages, including the Kiel corpus of German and Mandarin corpora transcribed by\nthe Chinese Academy of Social Sciences (Li et al., 2000).\n14.2\nArticulatory Phonetics\n\n---\n\n[Izvor 4 | str.349 | data\\book.pdf]\nEnglish Tasks\nWER%\nLibriSpeech audiobooks 960hour clean\n1.4\nLibriSpeech audiobooks 960hour other\n2.6\nSwitchboard telephone conversations between strangers\n5.8\nCALLHOME telephone conversations between family\n11\nAMI meetings\n11\nSociolinguistic interviews, CORAAL (AAE)\n16.2\nCHiME6 dinner parties with distant microphones\n25.5\nSample tasks in other languages\nWER%\nCommon Voice 15 Vietnamese\n39.8\nCommon Voice 15 Swahili\n51.2\nFLEURS Bengali\n50\nChinese (Mandarin) Tasks\nCER%\nAISHELL-1 Mandarin read speech corpus\n3.9\n\n---\n\n[Izvor 5 | str.348 | data\\book.pdf]\nAISHELL-1 corpus contains 170 hours of Mandarin read speech of sentences taken\nAISHELL-1\nfrom various domains, read by different speakers mainly from northern China (Bu\net al., 2017).\nFinally, there are many multilingual corpora. Common Voice (Ardila et al.,\n2020) is a freely available crowd-sourced corpus of transcribed read speech, stored\nin MPEG-3 format and designed for ASR. Crowd-working volunteers record them-\nselves reading scripted speech, with scripts often extracted from Wikipedia arti-']",The HKUST Mandarin Telephone Speech corpus includes 1206 transcribed ten-minute telephone conversations.,1206,1.0,0.9841246300687384,1.0,0.9999999999
Who are the authors of the paper on knowledge-based word sense disambiguation?,[],Greška: Got unsupported early_stopping_method `generate`,"Chaplot, D. S. and R. Salakhutdinov.",0.0,0.0,0.0,0.0
How many instructions does the Aya dataset provide?,"['[Izvor 1 | str.159 | data\\book.pdf]\ncontinue training it on a special dataset of instructions together with the appropriate\nresponse to each. The dataset has many examples of questions together with their\nanswers, commands with their responses, and other examples of how to carry on a\nconversation. We’ll discuss the details of instruction-tuning in Chapter 10.\nLanguage models that have been instruction-tuned are very good at following\ninstructions and answering questions and carrying on a conversation and can be\n\n---\n\n[Izvor 2 | str.240 | data\\book.pdf]\na dataset of instructions together with correct responses. Instruction tuning\ndatasets are often created by repurposing standard NLP datasets for tasks like\nquestion answering or machine translation.\n\n---\n\n[Izvor 3 | str.228 | data\\book.pdf]\n10.1\n•\nINSTRUCTION TUNING\n221\nMany huge instruction tuning datasets have been created, covering many tasks\nand languages. For example Aya gives 503 million instructions in 114 languages\nfrom 12 tasks including question answering, summarization, translation, paraphras-\ning, sentiment analysis, natural language inference and 6 others (Singh et al., 2024).\nSuperNatural Instructions has 12 million examples from 1600 tasks (Wang et al.,\n\n---\n\n[Izvor 4 | str.230 | data\\book.pdf]\n500 safety instructions mixed in with a large instruction tuning dataset was enough\nto substantially reduce the harmfulness of models.\n10.1.2\nEvaluation of Instruction-Tuned Models\nThe goal of instruction tuning is not to learn a single task, but rather to learn to\nfollow instructions in general. Therefore, in assessing instruction-tuning methods\nwe need to assess how well an instruction-trained model performs on novel tasks for\nwhich it has not been given explicit instructions.\n\n---\n\n[Izvor 5 | str.227 | data\\book.pdf]\nmay be frozen or might be slightly updated.\nFinally, in instruction tuning, we take a dataset of instructions and their super-\nvised responses and continue to train the language model on this data, based on the\nstandard language model loss.\nInstruction tuning, like all of these kinds of ﬁnetuning, is much more modest\nthan the training of base LLMs. Training typically involves several epochs over\ninstruction datasets that number in the thousands. The overall cost of instruction']",The Aya dataset provides 503 million instructions in 114 languages from 12 tasks.,503 million instructions,1.0,0.7418954080982495,1.0,0.9999999999
What is the distance of the satellite's orbit from the sun compared to Earth?,"['[Izvor 1 | str.561 | data\\book.pdf]\nbackground\n  (2)\nWIth its \ndistant orbit  \n<p> -- 50\n percent \nfarther from \nthe sun than \nEarth -- </p> \nand slim \natmospheric \nblanket,\n(3)\nMars\nexperiences\nfrigid weather\nconditions.\n4-9\nelaboration-additional\n(4)\nSurface \ntemperatures\n typically average \nabout -60 \ndegrees Celsius\n <p> (-76 degrees\nFahrenheit)</p>\n at the equator\n4-5\nList\n(5)\nand can dip\nto -123\ndegrees C\nnear the\npoles.\n6-9\nContrast\n6-7\n(6)\nOnly the\nmidday sun at\ntropical latitudes\nis warm enough\n(7)\nto thaw ice\non occasion,\npurpose\n\n---\n\n[Izvor 2 | str.561 | data\\book.pdf]\natmospheric blanket, Mars experiences frigid weather conditions. Surface\ntemperatures typically average about -60 degrees Celsius (-76 degrees\nFahrenheit) at the equator and can dip to -123 degrees C near the poles. Only\nthe midday sun at tropical latitudes is warm enough to thaw ice on occasion,\nbut any liquid water formed in this way would evaporate almost instantly\nbecause of the low atmospheric pressure.\nTitle\n(1)\nMars\n2-9\nevidence\n2-3\nbackground\n  (2)\nWIth its \ndistant orbit  \n<p> -- 50\n percent\n\n---\n\n[Izvor 3 | str.520 | data\\book.pdf]\ncompared to non-zero occurrences in the other. Very frequent words will also seem\ndifferent since all counts are large.\nIn this section we walk through the details of one solution to this problem: the\n“log odds ratio informative Dirichlet prior” method of Monroe et al. (2008) that is a\nparticularly useful method for ﬁnding words that are statistically overrepresented in\none particular category of texts compared to another. It’s based on the idea of using\n\n---\n\n[Izvor 4 | str.351 | data\\book.pdf]\nof the kernel with the input in the window. The ﬁgure shows the computation of z3.\nNote that the size k (the receptive ﬁeld) of the kernel is designed to be small\ncompared to the signal. For example for the convolutional layers in Whisper, the\nkernel width is 3 frames, meaning the kernel is a vector of length 3 (we say that\nthe kernel has a receptive ﬁeld of 3). That means that the kernel is being compared\nreceptive ﬁeld\nto 3 frames of speech. In Whisper there is a frame every 10 ms and each frame\n\n---\n\n[Izvor 5 | str.185 | data\\book.pdf]\ndistinctly represent three different roles that each input embedding plays during the\ncourse of the attention process:\n• As the current element being compared to the preceding inputs. We’ll refer to\nthis role as a query.\nquery\n• In its role as a preceding input that is being compared to the current element\nto determine a similarity weight. We’ll refer to this role as a key.\nkey\n• And ﬁnally, as a value of a preceding element that gets weighted and summed\nvalue']",The satellite's orbit is 50 percent farther from the sun than Earth.,50 percent farther from the sun than Earth.,0.0,0.9532537255540577,1.0,0.9999999999
