user_input,retrieved_contexts,response,reference,faithfulness,answer_relevancy,context_recall,context_precision
What values are set to −∞ in the N × N QK⊺ matrix?,[],Greška: Connection error.,The upper-triangle portion of the comparisons matrix.,0.0,0.0,0.0,0.0
What type of optimization problem is learning in neural networks described as?,[],Greška: Connection error.,a non-convex optimization problem,0.0,0.0,0.0,0.0
What is the second step in the process described in the text?,[],Greška: Connection error.,Identification,0.0,0.0,0.0,0.0
How many instruction/response instances are included in the Aya instruct finetuning corpus?,[],Greška: Connection error.,204K,0.0,0.0,0.0,0.0
What is the selectional restriction on the THEME role of the verb eat in the hamburger example?,[],Greška: Connection error.,"{food, nutrient}",0.0,0.0,0.0,0.0
What type of parsers will be discussed in relation to constituents?,[],Greška: Connection error.,neural span-based parsers,0.0,0.0,0.0,0.0
How many transcribed conversations are included in the HKUST Mandarin Telephone Speech corpus?,[],Greška: Connection error.,1206,0.0,-0.0,0.0,0.0
Who are the authors of the paper on knowledge-based word sense disambiguation?,"['[Izvor 1 | str.592 | data\\book.pdf]\nshared task. CoNLL.\nChaplot, D. S. and R. Salakhutdinov.\n2018. Knowledge-based word sense\ndisambiguation using topic models.\nAAAI.\nCharniak, E. 1997.\nStatistical pars-\ning with a context-free grammar and\nword statistics. AAAI.\nCharniak, E., C. Hendrickson, N. Ja-\ncobson, and M. Perkowitz. 1993.\nEquations for part-of-speech tag-\nging. AAAI.\nChe, W., Z. Li, Y. Li, Y. Guo, B. Qin,\nand T. Liu. 2009.\nMultilingual\ndependency-based syntactic and se-\nmantic parsing. CoNLL.\nChen, C. and V. Ng. 2013.\nLinguis-\n\n---\n\n[Izvor 2 | str.596 | data\\book.pdf]\nand\nD. Yarowsky. 1992a. One sense per\ndiscourse. HLT.\nGale,\nW. A.,\nK. W. Church,\nand\nD. Yarowsky. 1992b. Work on sta-\ntistical methods for word sense dis-\nambiguation. AAAI Fall Symposium\non Probabilistic Approaches to Nat-\nural Language.\nGao, L., T. Hoppe, A. Thite, S. Bi-\nderman, C. Foster, N. Nabeshima,\nS. Black,\nJ. Phang,\nS. Presser,\nL. Golding, H. He, and C. Leahy.\n2020. The Pile: An 800GB dataset\nof diverse text for language model-\ning. ArXiv preprint.\nGao, T., H. Yen, J. Yu, and D. Chen.\n\n---\n\n[Izvor 3 | str.215 | data\\book.pdf]\nthat, although it can be clustered, doesn’t divide up into fully discrete senses.\nWord Sense Disambiguation\nThe task of selecting the correct sense for a word is called word sense disambigua-\ntion, or WSD. WSD algorithms take as input a word in context and a ﬁxed inventory\nword sense\ndisambiguation\nWSD\nof potential word senses (like the ones in WordNet) and outputs the correct word\nsense in context. Fig. 9.7 sketches out the task.\n2\n\n---\n\n[Izvor 4 | str.598 | data\\book.pdf]\n2009. The conll-2009 shared task:\nSyntactic and semantic dependen-\ncies in multiple languages. CoNLL.\nHakkani-T¨ur,\nD.,\nK.\nOﬂazer,\nand\nG. T¨ur. 2002. Statistical morpholog-\nical disambiguation for agglutinative\nlanguages.\nJournal of Computers\nand Humanities, 36(4):381–410.\nHalliday, M. A. K. and R. Hasan. 1976.\nCohesion in English. Longman. En-\nglish Language Series, Title No. 9.\nHamilton, W. L., K. Clark, J. Leskovec,\nand D. Jurafsky. 2016a.\nInducing\ndomain-speciﬁc sentiment lexicons\n\n---\n\n[Izvor 5 | str.608 | data\\book.pdf]\nHamp, D. G. Hays, C. F. Hockett,\nA. G. Oettinger, and A. J. Perlis.\n1966.\nLanguage and Machines:\nComputers in Translation and Lin-\nguistics.\nALPAC report. National\nAcademy of Sciences, National Re-\nsearch Council, Washington, DC.\nPilehvar,\nM.\nT.\nand\nJ.\nCamacho-\nCollados. 2019.\nWiC: the word-\nin-context\ndataset\nfor\nevaluating\ncontext-sensitive meaning represen-\ntations. NAACL HLT.\nPitler, E., A. Louis, and A. Nenkova.\n2009.\nAutomatic sense prediction\nfor implicit discourse relations in\ntext. ACL IJCNLP.']",The authors of the paper on knowledge-based word sense disambiguation are D. S. Chaplot and R. Salakhutdinov.,"Chaplot, D. S. and R. Salakhutdinov.",1.0,1.0000000000000002,1.0,0.9999999999
How many instructions does the Aya dataset provide?,"['[Izvor 1 | str.228 | data\\book.pdf]\n10.1\n•\nINSTRUCTION TUNING\n221\nMany huge instruction tuning datasets have been created, covering many tasks\nand languages. For example Aya gives 503 million instructions in 114 languages\nfrom 12 tasks including question answering, summarization, translation, paraphras-\ning, sentiment analysis, natural language inference and 6 others (Singh et al., 2024).\nSuperNatural Instructions has 12 million examples from 1600 tasks (Wang et al.,\n\n---\n\n[Izvor 2 | str.228 | data\\book.pdf]\n2022), Flan 2022 has 15 million examples from 1836 tasks (Longpre et al., 2023),\nand OPT-IML has 18 million examples from 2000 tasks (Iyer et al., 2022).\nThese instruction-tuning datasets are created in four ways. The ﬁrst is for people\nto write the instances directly. For example, part of the Aya instruct ﬁnetuning cor-\npus (Fig. 10.2) includes 204K instruction/response instances written by 3000 ﬂuent\nspeakers of 65 languages volunteering as part of a participatory research initiative\n\n---\n\n[Izvor 3 | str.612 | data\\book.pdf]\nW.-Y. Ko, H. Shandilya, J. Pa-\ntel, D. Mataciunas, L. O’Mahony,\nM. Zhang, R. Hettiarachchi, J. Wil-\nson, M. Machado, L. S. Moura,\nD. Krzemi´nski, H. Fadaei, I. Erg¨un,\nI. Okoh, A. Alaagib, O. Mudan-\nnayake, Z. Alyafeai, V. M. Chien,\nS. Ruder, S. Guthikonda, E. A.\nAlghamdi, S. Gehrmann, N. Muen-\nnighoff, M. Bartolo, J. Kreutzer,\nA.\n¨U ¨Ust¨un,\nM.\nFadaee,\nand\nS. Hooker. 2024. Aya dataset: An\nopen-access collection for multi-\nlingual instruction tuning.\nArXiv\npreprint.\nSleator, D. and D. Temperley. 1993.\n\n---\n\n[Izvor 4 | str.240 | data\\book.pdf]\na dataset of instructions together with correct responses. Instruction tuning\ndatasets are often created by repurposing standard NLP datasets for tasks like\nquestion answering or machine translation.\n\n---\n\n[Izvor 5 | str.360 | data\\book.pdf]\ncodebook \nStage 1 class induction\nStage 2 class induction\n1\n100\n100 units\n2\n1\n500\n500 units\n2\n39-d\n768-d\nFigure 15.10\nCreating the targets for the two stages of HuBERT training. In the ﬁrst stage,\n100 acoustic units are created by computing 39-dimensional MFCC vectors for the entire\ntraining data and then clustering them with k-means. In the second stage, 500 units are created\nby passing a subsample of the training data through the HuBERT model after the ﬁrst stage']",The Aya dataset provides 503 million instructions in 114 languages from 12 tasks.,503 million instructions,1.0,0.7418749308297407,1.0,0.9999999999
What is the distance of the satellite's orbit from the sun compared to Earth?,[],Greška: Got unsupported early_stopping_method `generate`,50 percent farther from the sun than Earth.,0.0,0.05232932612272942,0.0,0.0
