user_input,retrieved_contexts,response,reference,faithfulness,answer_relevancy,context_recall,context_precision
What values are set to −∞ in the N × N QK⊺ matrix?,"['[Izvor 1 | str.192 | data\\book.pdf]\nq1•k1\nq2•k1 q2•k2\nq4•k1 q4•k2 q4•k3 q4•k4\nq3•k1 q3•k2 q3•k3\nN\nN\n−∞\n−∞\n−∞\n−∞\n−∞\n−∞\nFigure 8.10\nThe N × N QK⊺matrix showing the qi · kj values, with the upper-triangle\nportion of the comparisons matrix zeroed out (set to −∞, which the softmax will turn to\nzero).\nFig. 8.11 shows a schematic of all the computations for a single attention head\nparallelized in matrix form.\nq1\nq2\nq3\nq4\nk1\nk2\nk3\nk4\nQ\nKT\nQKT\nv1\nv2\nv3\nv4\nV\nq2•k2\nq4•k2 q4•k3 q4•k4\nq3•k2 q3•k3\n−∞\n−∞\n−∞\n−∞\n−∞\n−∞\nq1•k1\nq2•k1 q2•k2\n\n---\n\n[Izvor 2 | str.192 | data\\book.pdf]\nknow it! To ﬁx this, the elements in the upper-triangular portion of the matrix are set\nto −∞, which the softmax will turn to zero, thus eliminating any knowledge of words\nthat follow in the sequence. This is done in practice by adding a mask matrix M in\nwhich Mi j = −∞∀j > i (i.e. for the upper-triangular portion) and Mij = 0 otherwise.\nFig. 8.10 shows the resulting masked QK⊺matrix. (we’ll see in Chapter 9 how to\nmake use of words in the future for tasks that need it).\nq1•k1\nq2•k1 q2•k2\n\n---\n\n[Izvor 3 | str.191 | data\\book.pdf]\nof shape N ×N, visualized in Fig. 8.9.\nq1•k1\nq2•k1\nq2•k2\nq4•k1\nq4•k2\nq4•k3\nq4•k4\nq3•k1\nq3•k2\nq3•k3\nN\nN\nq1•k2\nq1•k3\nq1•k4\nq2•k3\nq2•k4\nq3•k4\nFigure 8.9\nThe N × N QK⊺matrix showing how it computes all qi · k j comparisons in a\nsingle matrix multiple.\nOnce we have this QK⊺matrix, we can very efﬁciently scale these scores, take\nthe softmax, and then multiply the result by V resulting in a matrix of shape N ×d:\na vector embedding representation for each token in the input. We’ve reduced the\n\n---\n\n[Izvor 4 | str.208 | data\\book.pdf]\n9.1\n•\nBIDIRECTIONAL TRANSFORMER ENCODERS\n201\n(repeated from Eq. 8.34 for a single attention head):\nhead = softmax\n\x12\nmask\n\x12QK⊺\n√dk\n\x13\x13\nV\n(9.1)\nq1•k1\nq2•k1 q2•k2\nq4•k1 q4•k2 q4•k3 q4•k4\nq3•k1 q3•k2 q3•k3\nN\nN\n−∞\n−∞\n−∞\n−∞\n−∞\n−∞\nq1•k1\nq2•k1\nq2•k2\nq4•k1\nq4•k2\nq4•k3\nq4•k4\nq3•k1\nq3•k2\nq3•k3\nN\nN\nq1•k2\nq1•k3\nq1•k4\nq2•k3\nq2•k4\nq3•k4\n(a)\n(b)\nFigure 9.2\nThe N ×N QK⊺matrix showing the qi ·kj values. (a) shows the upper-triangle\nportion of the comparisons matrix zeroed out (set to −∞, which the softmax will turn to zero),\n\n---\n\n[Izvor 5 | str.193 | data\\book.pdf]\nMultiplying the concatenated [N × Adv] matrix output by WO of shape [Adv × d]\nyields the self-attention output A of shape [N ×d].\nQi = XWQi ; Ki = XWKi ; Vi = XWVi\n(8.35)\nheadi = SelfAttention(Qi,Ki,Vi) = softmax\n\x12\nmask\n\x12QiKi⊺\n√dk\n\x13\x13\nVi\n(8.36)\nMultiHeadAttention(X) = (head1 ⊕head2...⊕headA)WO (8.37)\nPutting it all together with the parallel input matrix X\nThe function computed\nin parallel by an entire layer of N transformer blocks—each block over one of the N\ninput tokens—can be expressed as:']","In the N × N QK⊺ matrix, the values in the upper-triangular portion are set to −∞. This is done to ensure that the softmax function turns these values to zero, effectively eliminating any knowledge of words that follow in the sequence.",The upper-triangle portion of the comparisons matrix.,1.0,0.9076169830920354,1.0,0.9999999999
What type of optimization problem is learning in neural networks described as?,"['[Izvor 1 | str.151 | data\\book.pdf]\nto each unit in layer i+1, and there are no cycles.\n• The power of neural networks comes from the ability of early layers to learn\nrepresentations that can be utilized by later layers in the network.\n• Neural networks are trained by optimization algorithms like gradient de-\nscent.\n• Error backpropagation, backward differentiation on a computation graph,\nis used to compute the gradients of the loss function for a network.\n• Neural language models use a neural network as a probabilistic classiﬁer, to\n\n---\n\n[Izvor 2 | str.127 | data\\book.pdf]\nminimal neural network (technically one with a single ‘hidden layer’) can be shown\nto learn any function.\nNeural net classiﬁers are different from logistic regression in another way. With\nlogistic regression, we applied the regression classiﬁer to many different tasks by\ndeveloping many rich kinds of feature templates based on domain knowledge. When\nworking with neural networks, it is more common to avoid most uses of rich hand-\n\n---\n\n[Izvor 3 | str.150 | data\\book.pdf]\n∂z\n= −\n\x12 y\na[2] + y−1\n1−a[2]\n\x13\na[2](1−a[2])\n= a[2] −y\n(6.43)\nContinuing the backward computation of the gradients (next by passing the gra-\ndients over b[2]\n1 and the two product nodes, and so on, back to all the teal nodes), is\nleft as an exercise for the reader.\n6.6.5\nMore details on learning\nOptimization in neural networks is a non-convex optimization problem, more com-\nplex than for logistic regression, and for that and other reasons there are many best\npractices for successful learning.\n2\n\n---\n\n[Izvor 4 | str.144 | data\\book.pdf]\ngradient descent optimization algorithm introduced in Chapter 4.\nThird, gradient descent requires knowing the gradient of the loss function, the\nvector that contains the partial derivative of the loss function with respect to each\nof the parameters. In logistic regression, for each observation we could directly\ncompute the derivative of the loss function with respect to an individual w or b. But\nfor neural networks, with millions of parameters in many layers, it’s much harder to\n\n---\n\n[Izvor 5 | str.130 | data\\book.pdf]\nwards, multiplying gradients (partial derivatives) from each layer of the network;\ngradients that are almost 0 cause the error signal to get smaller and smaller until it is\ntoo small to be used for training, a problem called the vanishing gradient problem.\nvanishing\ngradient\nRectiﬁers don’t have this problem, since the derivative of ReLU for high values of z\nis 1 rather than very close to 0.\n6.2\nThe XOR problem\nEarly in the history of neural networks it was realized that the power of neural net-']",Learning in neural networks is described as a non-convex optimization problem.,a non-convex optimization problem,1.0,0.697486518314412,1.0,0.9999999999
What is the second step in the process described in the text?,"['[Izvor 1 | str.381 | data\\book.pdf]\n374\nCHAPTER 16\n•\nTEXT-TO-SPEECH\nthe language model generates the acoustic codes in two stages. First, an autoregres-\nsive LM generates the ﬁrst-quantizer codes for the entire output sequence, given the\ninput text and enrolled audio. Then given those codes, a non-autoregressive LM is\nrun 7 times, each time taking as input the output of the initial autoregressive codes\nand the prior non-autoregressive quantizer and thus generating the codes from the\n\n---\n\n[Izvor 2 | str.294 | data\\book.pdf]\ninference, computing ht, yt, accumulating the loss at each step in time, saving the\nvalue of the hidden layer at each step for use at the next time step. In the second\npass, we process the sequence in reverse, computing the required gradients as we go,\ncomputing and saving the error term for use in the hidden layer for each step back-\nward in time. This general approach is commonly referred to as backpropagation\nthrough time (Werbos 1974, Rumelhart et al. 1986, Werbos 1990).\nbackpropaga-\ntion through\ntime\n\n---\n\n[Izvor 3 | str.300 | data\\book.pdf]\nfrom the previous step. Fig. 13.9 illustrates this approach. In this ﬁgure, the details\nof the RNN’s hidden layers and recurrent connections are hidden within the blue\nblock.\n\n---\n\n[Izvor 4 | str.524 | data\\book.pdf]\nindication of how associated the feature is with the class.\n22.8\nLexicon-based methods for Entity-Centric Affect\nWhat if we want to get an affect score not for an entire document, but for a particular\nentity in the text? The entity-centric method of Field and Tsvetkov (2019) combines\naffect lexicons with contextual embeddings to assign an affect score to an entity in\ntext. In the context of affect about people, they relabel the Valence/Arousal/Domi-\n\n---\n\n[Izvor 5 | str.386 | data\\book.pdf]\nVolume II\nANNOTATING LINGUISTIC\nSTRUCTURE\nIn the second volume of the book we discuss the task of detecting linguistic\nstructure. In the early history of NLP these structures were an intermediate step to-\nward deeper language processing. In modern NLP, we don’t generally make explicit\nuse of parse or other structures inside the large language models we introduced in\nPart I.\nInstead linguistic structure plays a number of new roles. One important role is for']","The second step in the process described involves running a non-autoregressive language model (LM) 7 times, each time taking as input the output of the initial autoregressive codes and the prior non-autoregressive quantizer to generate the codes.",Identification,1.0,0.8971728349014944,0.0,0.0
How many instruction/response instances are included in the Aya instruct finetuning corpus?,"['[Izvor 1 | str.228 | data\\book.pdf]\n2022), Flan 2022 has 15 million examples from 1836 tasks (Longpre et al., 2023),\nand OPT-IML has 18 million examples from 2000 tasks (Iyer et al., 2022).\nThese instruction-tuning datasets are created in four ways. The ﬁrst is for people\nto write the instances directly. For example, part of the Aya instruct ﬁnetuning cor-\npus (Fig. 10.2) includes 204K instruction/response instances written by 3000 ﬂuent\nspeakers of 65 languages volunteering as part of a participatory research initiative\n\n---\n\n[Izvor 2 | str.159 | data\\book.pdf]\ncontinue training it on a special dataset of instructions together with the appropriate\nresponse to each. The dataset has many examples of questions together with their\nanswers, commands with their responses, and other examples of how to carry on a\nconversation. We’ll discuss the details of instruction-tuning in Chapter 10.\nLanguage models that have been instruction-tuned are very good at following\ninstructions and answering questions and carrying on a conversation and can be\n\n---\n\n[Izvor 3 | str.228 | data\\book.pdf]\nmatera) dan Brunei. Sajian ini merujuk kepada nasi yang di-\nmasak dengan menggunakan santan kelapa bagi menambah rasa\nlemaknya. Kadangkala, daun pandan wangi dimasukkan semasa\nnasi dimasak bagi menambahkan aromanya.\ntam\nெசயற்ைகநுண்ணற§வு\nஎன்றால்என்ன?\nெபாதுவாகமனிதர்களால்ெசய்யப்படும்பணிகைளச்\nெசய்ய\nஒரு\nகணினி\nஅல்லது\nஒரு\nகணினியால்\nகட்டுப்படுத்தப்படும்ஒருேராேபாவ¥ன்த¦றன்ெசயற்ைக\nநுண்ணற§வுஎனப்படும்.\nFigure 10.2\nSamples of prompt/completion instances in 4 of the 65 languages in the Aya\ncorpus (Singh et al., 2024).\n\n---\n\n[Izvor 4 | str.228 | data\\book.pdf]\n10.1\n•\nINSTRUCTION TUNING\n221\nMany huge instruction tuning datasets have been created, covering many tasks\nand languages. For example Aya gives 503 million instructions in 114 languages\nfrom 12 tasks including question answering, summarization, translation, paraphras-\ning, sentiment analysis, natural language inference and 6 others (Singh et al., 2024).\nSuperNatural Instructions has 12 million examples from 1600 tasks (Wang et al.,\n\n---\n\n[Izvor 5 | str.13 | data\\book.pdf]\n6\nCHAPTER 2\n•\nWORDS AND TOKENS\nCorpus\nTypes = |V| Instances = N\nShakespeare\n31 thousand\n884 thousand\nBrown corpus\n38 thousand\n1 million\nSwitchboard telephone conversations\n20 thousand\n2.4 million\nCOCA\n2 million\n440 million\nGoogle n-grams\n13 million\n1 trillion\nFigure 2.1\nRough numbers of wordform types and instances for some English language\ncorpora. The largest, the Google n-grams corpus, contains 13 million types, but this count']","The Aya instruct finetuning corpus includes 204,000 instruction/response instances.",204K,1.0,0.9999995038280698,1.0,0.9999999999
What is the selectional restriction on the THEME role of the verb eat in the hamburger example?,"['[Izvor 1 | str.499 | data\\book.pdf]\nOne useful cue is the semantic fact that the THEME of EATING events tends to be\nsomething that is edible. This restriction placed by the verb eat on the ﬁller of its\nTHEME argument is a selectional restriction.\nSelectional restrictions are associated with senses, not entire lexemes. We can\nsee this in the following examples of the lexeme serve:\n(21.31)\nThe restaurant serves green-lipped mussels.\n(21.32)\nWhich airlines serve Denver?\n\n---\n\n[Izvor 2 | str.500 | data\\book.pdf]\nsynset as the selectional restriction on each of its arguments. A meaning representa-\ntion is well-formed if the role ﬁller word is a hyponym (subordinate) of this synset.\nFor our ate a hamburger example, for instance, we could set the selectional\nrestriction on the THEME role of the verb eat to the synset {food, nutrient}, glossed\nas any substance that can be metabolized by an animal to give energy and build\ntissue. Luckily, the chain of hypernyms for hamburger shown in Fig. 21.7 reveals\n\n---\n\n[Izvor 3 | str.500 | data\\book.pdf]\nthat hamburgers are indeed food. Again, the ﬁller of a role need not match the\nrestriction synset exactly; it just needs to have the synset as one of its superordinates.\nWe can apply this approach to the THEME roles of the verbs imagine, lift, and di-\nagonalize, discussed earlier. Let us restrict imagine’s THEME to the synset {entity},\nlift’s THEME to {physical entity}, and diagonalize to {matrix}. This arrangement\ncorrectly permits imagine a hamburger and lift a hamburger, while also correctly\n\n---\n\n[Izvor 4 | str.500 | data\\book.pdf]\nthe λ-structures and using thematic roles rather than deep event roles, the semantic\ncontribution of a verb like eat might look like the following:\n∃e,x,y Eating(e)∧Agent(e,x)∧Theme(e,y)\nWith this representation, all we know about y, the ﬁller of the THEME role, is that\nit is associated with an Eating event through the Theme relation. To stipulate the\nselectional restriction that y must be something edible, we simply add a new term to\nthat effect:\n∃e,x,y Eating(e)∧Agent(e,x)∧Theme(e,y)∧EdibleThing(y)\n\n---\n\n[Izvor 5 | str.501 | data\\book.pdf]\n494\nCHAPTER 21\n•\nSEMANTIC ROLE LABELING\nSense 1\nhamburger, beefburger --\n(a fried cake of minced beef served on a bun)\n=> sandwich\n=> snack food\n=> dish\n=> nutriment, nourishment, nutrition...\n=> food, nutrient\n=> substance\n=> matter\n=> physical entity\n=> entity\nFigure 21.7\nEvidence from WordNet that hamburgers are edible.\n21.7.2\nSelectional Preferences\nIn the earliest implementations, selectional restrictions were considered strict con-']","The selectional restriction on the THEME role of the verb ""eat"" in the hamburger example is that the THEME must be something edible, which can be represented by the synset {food, nutrient}. This means that the THEME argument must refer to a substance that can be metabolized by an animal to provide energy and build tissue.","{food, nutrient}",1.0,0.8897068688389678,1.0,0.9999999999
What type of parsers will be discussed in relation to constituents?,"['[Izvor 1 | str.415 | data\\book.pdf]\n408\nCHAPTER 18\n•\nCONTEXT-FREE GRAMMARS AND CONSTITUENCY PARSING\n18.1\nConstituency\nSyntactic constituency is the idea that groups of words can behave as single units,\nor constituents. Part of developing a grammar involves building an inventory of the\nconstituents in the language. How do words group together in English? Consider\nthe noun phrase, a sequence of words surrounding at least one noun. Here are some\nnoun phrase\nexamples of noun phrases (thanks to Damon Runyon):\nHarry the Horse\n\n---\n\n[Izvor 2 | str.432 | data\\book.pdf]\ntasks we’ve seen already like named entity tagging:\nlabeled recall: = # of correct constituents in hypothesis parse of s\n# of total constituents in reference parse of s\nlabeled precision: = # of correct constituents in hypothesis parse of s\n# of total constituents in hypothesis parse of s\n\n---\n\n[Izvor 3 | str.414 | data\\book.pdf]\nconstituent. We’ll see how to do this with neural span-based parsers. Finally, we’ll\nintroduce the standard set of metrics for evaluating parser accuracy.\n\n---\n\n[Izvor 4 | str.432 | data\\book.pdf]\nfrom spans to non-terminals.\nFor more details on span-based parsing, including the margin-based training al-\ngorithm, see Stern et al. (2017), Gaddy et al. (2018), Kitaev and Klein (2018), and\nKitaev et al. (2019).\n18.8\nEvaluating Parsers\nThe standard tool for evaluating parsers that assign a single parse tree to a sentence\nis the PARSEVAL metrics (Black et al., 1991). The PARSEVAL metric measures\nPARSEVAL\nhow much the constituents in the hypothesis parse tree look like the constituents in a\n\n---\n\n[Izvor 5 | str.435 | data\\book.pdf]\nand cross-brackets.\n• Partial parsing and chunking are methods for identifying shallow syntac-\ntic constituents in a text. They are solved by sequence models trained on\nsyntactically-annotated data.\nHistorical Notes\nAccording to Percival (1976), the idea of breaking up a sentence into a hierarchy of\nconstituents appeared in the V¨olkerpsychologie of the groundbreaking psychologist\nWilhelm Wundt (Wundt, 1900):\n...den sprachlichen Ausdruck f¨ur die willk¨urliche Gliederung einer Ge-']","The types of parsers discussed in relation to constituents include neural span-based parsers and methods for partial parsing and chunking, which identify shallow syntactic constituents.",neural span-based parsers,1.0,0.9712747375145312,1.0,0.9999999999
How many transcribed conversations are included in the HKUST Mandarin Telephone Speech corpus?,"['[Izvor 1 | str.348 | data\\book.pdf]\nAmerican communities and others (Kendall and Farrington, 2020). The interviews\nare anonymized with transcripts aligned at the utterance level.\nThere are a wide variety of corpora available in other languages. In Chinese,\nfor example, the HKUST Mandarin Telephone Speech corpus has 1206 transcribed\nHKUST\nten-minute telephone conversations between speakers of Mandarin across China in-\ncluding conversations between friends and between strangers (Liu et al., 2006). The\n\n---\n\n[Izvor 2 | str.349 | data\\book.pdf]\nEnglish Tasks\nWER%\nLibriSpeech audiobooks 960hour clean\n1.4\nLibriSpeech audiobooks 960hour other\n2.6\nSwitchboard telephone conversations between strangers\n5.8\nCALLHOME telephone conversations between family\n11\nAMI meetings\n11\nSociolinguistic interviews, CORAAL (AAE)\n16.2\nCHiME6 dinner parties with distant microphones\n25.5\nSample tasks in other languages\nWER%\nCommon Voice 15 Vietnamese\n39.8\nCommon Voice 15 Swahili\n51.2\nFLEURS Bengali\n50\nChinese (Mandarin) Tasks\nCER%\nAISHELL-1 Mandarin read speech corpus\n3.9\n\n---\n\n[Izvor 3 | str.349 | data\\book.pdf]\nCER%\nAISHELL-1 Mandarin read speech corpus\n3.9\nHKUST Mandarin Chinese telephone conversations\n18.5\nFigure 15.1\nRough Word Error Rates (WER = % of words misrecognized) reported around\n2023-4 for ASR on various American English and other language recognition tasks, and char-\nacter error rates (CER) for two Chinese recognition tasks.\n15.2\nConvolutional Neural Networks\nThe convolutional neural network, or CNN (and sometimes shortened as convnet),\nCNN\n\n---\n\n[Izvor 4 | str.348 | data\\book.pdf]\nAISHELL-1 corpus contains 170 hours of Mandarin read speech of sentences taken\nAISHELL-1\nfrom various domains, read by different speakers mainly from northern China (Bu\net al., 2017).\nFinally, there are many multilingual corpora. Common Voice (Ardila et al.,\n2020) is a freely available crowd-sourced corpus of transcribed read speech, stored\nin MPEG-3 format and designed for ASR. Crowd-working volunteers record them-\nselves reading scripted speech, with scripts often extracted from Wikipedia arti-\n\n---\n\n[Izvor 5 | str.348 | data\\book.pdf]\n15.1\n•\nTHE AUTOMATIC SPEECH RECOGNITION TASK\n341\nand dividing the speakers roughly in half, with recordings from lower-WER speakers\ncalled “clean” and recordings from higher-WER speakers “other”.\nThe Switchboard corpus of prompted telephone conversations between strangers\nSwitchboard\nwas collected in the early 1990s; it contains 2430 conversations averaging 6 min-\nutes each, totaling 240 hours of 8 kHz speech and about 3 million words (Godfrey']",The HKUST Mandarin Telephone Speech corpus includes 1206 transcribed ten-minute telephone conversations.,1206,1.0,0.9841246300687384,1.0,0.9999999999
Who are the authors of the paper on knowledge-based word sense disambiguation?,"['[Izvor 1 | str.215 | data\\book.pdf]\nthat, although it can be clustered, doesn’t divide up into fully discrete senses.\nWord Sense Disambiguation\nThe task of selecting the correct sense for a word is called word sense disambigua-\ntion, or WSD. WSD algorithms take as input a word in context and a ﬁxed inventory\nword sense\ndisambiguation\nWSD\nof potential word senses (like the ones in WordNet) and outputs the correct word\nsense in context. Fig. 9.7 sketches out the task.\n2\n\n---\n\n[Izvor 2 | str.592 | data\\book.pdf]\nshared task. CoNLL.\nChaplot, D. S. and R. Salakhutdinov.\n2018. Knowledge-based word sense\ndisambiguation using topic models.\nAAAI.\nCharniak, E. 1997.\nStatistical pars-\ning with a context-free grammar and\nword statistics. AAAI.\nCharniak, E., C. Hendrickson, N. Ja-\ncobson, and M. Perkowitz. 1993.\nEquations for part-of-speech tag-\nging. AAAI.\nChe, W., Z. Li, Y. Li, Y. Guo, B. Qin,\nand T. Liu. 2009.\nMultilingual\ndependency-based syntactic and se-\nmantic parsing. CoNLL.\nChen, C. and V. Ng. 2013.\nLinguis-\n\n---\n\n[Izvor 3 | str.596 | data\\book.pdf]\nand\nD. Yarowsky. 1992a. One sense per\ndiscourse. HLT.\nGale,\nW. A.,\nK. W. Church,\nand\nD. Yarowsky. 1992b. Work on sta-\ntistical methods for word sense dis-\nambiguation. AAAI Fall Symposium\non Probabilistic Approaches to Nat-\nural Language.\nGao, L., T. Hoppe, A. Thite, S. Bi-\nderman, C. Foster, N. Nabeshima,\nS. Black,\nJ. Phang,\nS. Presser,\nL. Golding, H. He, and C. Leahy.\n2020. The Pile: An 800GB dataset\nof diverse text for language model-\ning. ArXiv preprint.\nGao, T., H. Yen, J. Yu, and D. Chen.\n\n---\n\n[Izvor 4 | str.567 | data\\book.pdf]\nhigh percentage of cancer deaths among a group of workers exposed to it\nmore than 30 years ago, researchers reported.\nDetermining whether a word is a discourse connective is thus a special case\nof word sense disambiguation. Early work on disambiguation showed that the 4\nPDTB high-level sense classes could be disambiguated with high (94%) accuracy\nused syntactic features from gold parse trees (Pitler and Nenkova, 2009). Recent\nwork performs the task end-to-end from word inputs using a biLSTM-CRF with\n\n---\n\n[Izvor 5 | str.125 | data\\book.pdf]\nsky, 2001a), and essay grading (Rehder et al., 1998). Related models were simul-\ntaneously developed and applied to word sense disambiguation by Sch¨utze (1992b).\nLSA also led to the earliest use of embeddings to represent words in a probabilis-\ntic classiﬁer, in the logistic regression document router of Sch¨utze et al. (1995).\nThe idea of SVD on the term-term matrix (rather than the term-document matrix)\nas a model of meaning for NLP was proposed soon after LSA by Sch¨utze (1992b).']",The authors of the paper on knowledge-based word sense disambiguation are D. S. Chaplot and R. Salakhutdinov.,"Chaplot, D. S. and R. Salakhutdinov.",1.0,0.9999995030103883,1.0,0.9999999999
How many instructions does the Aya dataset provide?,"['[Izvor 1 | str.228 | data\\book.pdf]\n10.1\n•\nINSTRUCTION TUNING\n221\nMany huge instruction tuning datasets have been created, covering many tasks\nand languages. For example Aya gives 503 million instructions in 114 languages\nfrom 12 tasks including question answering, summarization, translation, paraphras-\ning, sentiment analysis, natural language inference and 6 others (Singh et al., 2024).\nSuperNatural Instructions has 12 million examples from 1600 tasks (Wang et al.,\n\n---\n\n[Izvor 2 | str.159 | data\\book.pdf]\ncontinue training it on a special dataset of instructions together with the appropriate\nresponse to each. The dataset has many examples of questions together with their\nanswers, commands with their responses, and other examples of how to carry on a\nconversation. We’ll discuss the details of instruction-tuning in Chapter 10.\nLanguage models that have been instruction-tuned are very good at following\ninstructions and answering questions and carrying on a conversation and can be\n\n---\n\n[Izvor 3 | str.240 | data\\book.pdf]\na dataset of instructions together with correct responses. Instruction tuning\ndatasets are often created by repurposing standard NLP datasets for tasks like\nquestion answering or machine translation.\n\n---\n\n[Izvor 4 | str.228 | data\\book.pdf]\n2022), Flan 2022 has 15 million examples from 1836 tasks (Longpre et al., 2023),\nand OPT-IML has 18 million examples from 2000 tasks (Iyer et al., 2022).\nThese instruction-tuning datasets are created in four ways. The ﬁrst is for people\nto write the instances directly. For example, part of the Aya instruct ﬁnetuning cor-\npus (Fig. 10.2) includes 204K instruction/response instances written by 3000 ﬂuent\nspeakers of 65 languages volunteering as part of a participatory research initiative\n\n---\n\n[Izvor 5 | str.612 | data\\book.pdf]\nW.-Y. Ko, H. Shandilya, J. Pa-\ntel, D. Mataciunas, L. O’Mahony,\nM. Zhang, R. Hettiarachchi, J. Wil-\nson, M. Machado, L. S. Moura,\nD. Krzemi´nski, H. Fadaei, I. Erg¨un,\nI. Okoh, A. Alaagib, O. Mudan-\nnayake, Z. Alyafeai, V. M. Chien,\nS. Ruder, S. Guthikonda, E. A.\nAlghamdi, S. Gehrmann, N. Muen-\nnighoff, M. Bartolo, J. Kreutzer,\nA.\n¨U ¨Ust¨un,\nM.\nFadaee,\nand\nS. Hooker. 2024. Aya dataset: An\nopen-access collection for multi-\nlingual instruction tuning.\nArXiv\npreprint.\nSleator, D. and D. Temperley. 1993.']",The Aya dataset provides 503 million instructions in 114 languages from 12 tasks.,503 million instructions,1.0,0.7418803284217507,1.0,0.9999999999
What is the distance of the satellite's orbit from the sun compared to Earth?,"['[Izvor 1 | str.561 | data\\book.pdf]\nbackground\n  (2)\nWIth its \ndistant orbit  \n<p> -- 50\n percent \nfarther from \nthe sun than \nEarth -- </p> \nand slim \natmospheric \nblanket,\n(3)\nMars\nexperiences\nfrigid weather\nconditions.\n4-9\nelaboration-additional\n(4)\nSurface \ntemperatures\n typically average \nabout -60 \ndegrees Celsius\n <p> (-76 degrees\nFahrenheit)</p>\n at the equator\n4-5\nList\n(5)\nand can dip\nto -123\ndegrees C\nnear the\npoles.\n6-9\nContrast\n6-7\n(6)\nOnly the\nmidday sun at\ntropical latitudes\nis warm enough\n(7)\nto thaw ice\non occasion,\npurpose\n\n---\n\n[Izvor 2 | str.561 | data\\book.pdf]\nSatellite relation is represented with an arrow from the satellite to the nucleus:\nKevin must be here.\nHis car is parked outside\nevidence\nWe can also talk about the coherence of a larger text by considering the hierar-\nchical structure between coherence relations. Figure 24.1 shows the rhetorical struc-\nture of a paragraph from Marcu (2000a) for the text in (24.12) from the Scientiﬁc\nAmerican magazine.\n(24.12) With its distant orbit–50 percent farther from the sun than Earth–and slim\n\n---\n\n[Izvor 3 | str.560 | data\\book.pdf]\nsatellite is less central and generally is only interpretable with respect to the nucleus.\nSome symmetric relations, however, hold between two nuclei.\nBelow are a few examples of RST coherence relations, with deﬁnitions adapted\nfrom the RST Treebank Manual (Carlson and Marcu, 2001).\nReason: The nucleus is an action carried out by an animate agent and the satellite\nis the reason for the nucleus.\n(24.7) [NUC Jane took a train from Paris to Istanbul.] [SAT She had to attend a\nconference.]\n\n---\n\n[Izvor 4 | str.561 | data\\book.pdf]\natmospheric blanket, Mars experiences frigid weather conditions. Surface\ntemperatures typically average about -60 degrees Celsius (-76 degrees\nFahrenheit) at the equator and can dip to -123 degrees C near the poles. Only\nthe midday sun at tropical latitudes is warm enough to thaw ice on occasion,\nbut any liquid water formed in this way would evaporate almost instantly\nbecause of the low atmospheric pressure.\nTitle\n(1)\nMars\n2-9\nevidence\n2-3\nbackground\n  (2)\nWIth its \ndistant orbit  \n<p> -- 50\n percent\n\n---\n\n[Izvor 5 | str.560 | data\\book.pdf]\nconference.]\nElaboration: The satellite gives additional information or detail about the situation\npresented in the nucleus.\n(24.8) [NUC Dorothy was from Kansas.] [SAT She lived in the midst of the great\nKansas prairies.]\nEvidence: The satellite gives additional information or detail about the situation\npresented in the nucleus. The information is presented with the goal of convince the\nreader to accept the information presented in the nucleus.']",The satellite's orbit is 50 percent farther from the sun than Earth.,50 percent farther from the sun than Earth.,0.0,0.9517955389054125,1.0,0.9999999999
